id,title,price,link_item,discount_percent,sold_quantity,rating,details
1,adidas Quần vợt Giày Park Street Nam trắng IG9848,1350000,https://www.lazada.vn/products/chi-11-1211-mua-3-giam-50-adidas-quan-vot-giay-park-street-nam-trang-ig9848-i2840093199.html,25,40,3.6,Dáng regular fit Có dây giày Thân giày bằng da tổng hợp với chi tiết bằng da lộn Lót giày Cloudfoam Comfort Lớp lót bằng vải dệt Đế ngoài bằng cao su Đôi giày sneaker adidas này phù hợp cho mọi dịp kết hợp phong cách tennis retro với các chi tiết sần nhẹ Thân giày giả da có các lỗ đục tinh tế để không khí lưu thông đồng thời lót giày Cloudfoam Comfort cho sải bước mượt mà suốt những ngày dài bận rộn Điểm nhấn là logo adidas Badge of Sport classic bằng cao su Đệm gót giày bằng da lộn mềm mại hoàn thiện thiết kế Làm từ một loạt chất liệu tái chế thân dép có chứa tối thiểu 50 thành phần tái chế Sản phẩm này đại diện cho một trong số rất nhiều các giải pháp của chúng tôi hướng tới chấm dứt rác thải nhựa
2,adidas Quần vợt Giày Tennis Barricade 13 Nam trắng IF9129,4000000,https://www.lazada.vn/products/adidas-quan-vot-giay-tennis-barricade-13-nam-trang-if9129-i2677876249.html,0,5,4.5,Dáng regular fit Có dây giày Thân giày bằng vải lưới thoáng khí Các vùng Sensepod Geofit Đế giữa REPETITOR Torsion System Đế ngoài Adiwear Làm chủ sân đấu với đôi giày tennis adidas Barricade này Hệ thống Torsion System tạo độ ổn định giúp bạn xoay chuyển thế trận cùng dây giày lệch về một bên giúp cố định bàn chân khi bạn thực hiện các cú chuyển hướng nhanh và trượt cứu bóng Đế giữa REPETITOR tạo độ nâng đỡ và chuyển động mượt mà cho các sải bước trên sân Các vùng Sensepod Geofit ôm theo hình dáng tự nhiên của gót chân bạn đảm bảo cảm giác thoải mái và nâng đỡ tới tận match point Sản phẩm này có chứa tối thiểu 20 chất liệu tái chế Bằng cách tái sử dụng các chất liệu đã được tạo ra chúng tôi góp phần giảm lãng phí và giảm phụ thuộc vào các nguồn tài nguyên hữu hạn cũng như giảm phát thải từ các sản phẩm mà chúng tôi sản xuất
3,adidas Quần vợt Giày Park Street Nam trắng IG9848,1350000,https://www.lazada.vn/products/chi-11-1211-mua-3-giam-50-adidas-quan-vot-giay-park-street-nam-den-ig9846-i2663698480.html,25,14,3.9,Dáng regular fit Có dây giày Thân giày bằng da tổng hợp với chi tiết bằng da lộn Lót giày Cloudfoam Comfort Lớp lót bằng vải dệt Đế ngoài bằng cao su Đôi giày sneaker adidas này phù hợp cho mọi dịp kết hợp phong cách tennis retro với các chi tiết sần nhẹ Thân giày giả da có các lỗ đục tinh tế để không khí lưu thông đồng thời lót giày Cloudfoam Comfort cho sải bước mượt mà suốt những ngày dài bận rộn Điểm nhấn là logo adidas Badge of Sport classic bằng cao su Đệm gót giày bằng da lộn mềm mại hoàn thiện thiết kế Làm từ một loạt chất liệu tái chế thân dép có chứa tối thiểu 50 thành phần tái chế Sản phẩm này đại diện cho một trong số rất nhiều các giải pháp của chúng tôi hướng tới chấm dứt rác thải nhựa
4,adidas Quần vợt Giày Advantage 20 Nam trắng IG9166,1500000,https://www.lazada.vn/products/chi-11-1211-mua-3-giam-50-adidas-quan-vot-giay-advantage-20-nam-trang-ig9166-i2661993054.html,25,42,3.8,Dáng regular fit Có dây giày Thân giày bằng da tổng hợp Cảm giác mềm mại Lớp lót bằng vải dệt Lót giày Cloudfoam Comfort Đế ngoài bằng cao su Bản nâng cấp hiện đại của một mẫu giày tennis biểu tượng Đôi giày sneaker adidas này có thân giày giả da với 3 Sọc đục lỗ cho vẻ ngoài tinh tế Lót giày Cloudfoam Comfort cho cảm giác siêu mềm mại và êm ái hấp thụ lực tác động mà vẫn đảm bảo sải bước mượt mà Hoàn thiện với đế ngoài bằng cao su cứng cáp đôi giày này có thiết kế phù hợp cho những chuyến đi ngắn cũng như những buổi đi dạo thường ngày Bất kể kế hoạch của bạn là gì phong cách tối giản này cân được hết mọi outfit Bằng cách chọn tái chế chúng tôi có thể tái sử dụng những chất liệu đã được tạo ra từ đó góp phần giảm lãng phí Những lựa chọn chất liệu tái tạo sẽ giúp chúng tôi giảm phụ thuộc vào nguồn tài nguyên hữu hạn Các sản phẩm sử dụng kết hợp các chất liệu tái chế và tái tạo của chúng tôi có chứa tổng cộng tối thiểu 20 các chất liệu này
5,adidas Chạy Giày Galaxy 6 Nam Đen GW4138,1260000,https://www.lazada.vn/products/chi-11-1211-mua-3-giam-50-adidas-chay-giay-galaxy-6-nam-den-gw4138-i2662208050.html,30,44,3.4,Dáng regular fit Có dây giày Thân giày bằng vải dệt Lót giày OrthoLite Đế giữa Cloudfoam Lớp lót bằng vải dệt Đế ngoài bằng cao su Xỏ giày và xuất phát Đôi giày chạy bộ adidas này sẽ giúp bạn luôn thoải mái dẫu cho ngày mới kéo dài vô tận Đây là một đôi giày hàng ngày tuyệt vời với thân giày bằng vải lưới siêu nhẹ và thoáng khí giúp đôi chân bạn luôn mát mẻ cùng đế giữa Cloudfoam đàn hồi Đế ngoài bằng cao su bám vững vàng trên mọi bề mặt từ sân cỏ ẩm ướt tới sân đất nện Bạn có thể thoải mái thay đổi kế hoạch mà không cần đổi giày Làm từ một loạt chất liệu tái chế thân giày có chứa tối thiểu 50 thành phần tái chế Sản phẩm này đại diện cho một trong số rất nhiều các giải pháp của chúng tôi hướng tới chấm dứt rác thải nhựa
6,adidas Chạy Giày Duramo SL 20 Nam Xám HP2381,1260000,https://www.lazada.vn/products/chi-11-1211-mua-3-giam-50-adidas-chay-giay-duramo-sl-20-nam-xam-hp2381-i2277984992.html,30,131,3.9,Dáng regular fit Có dây giày Thân giày bằng vải lưới ba lớp Các chi tiết phủ ngoài không đường may tạo độ nâng đỡ Gót giày mềm mại Lớp đệm LIGHTMOTION Đế ngoài bằng cao su Khi tập gym buổi sáng làm việc vặt trong ngày hay đi chơi tối cùng bạn bè hãy giữ cho đôi chân bạn luôn thoải mái và đảm bảo phong cách chuẩn chỉnh với đôi giày adidas này Kết hợp cùng chiếc quần short chạy bộ ưa thích bạn sẽ có được phong cách thể thao mà casual Thân giày bằng vải lưới giúp bạn luôn mát mẻ cùng lớp đệm siêu nhẹ nâng niu từng sải bước Làm từ một nhóm chất liệu tái chế thân giày có chứa ít nhất 50 thành phần tái chế Sản phẩm này đại diện cho một trong số rất nhiều các giải pháp của chúng tôi hướng tới chấm dứt rác thải nhựa
7,adidas Quần vợt Giày Advantage Nam trắng GW9166,1900000,https://www.lazada.vn/products/chi-11-1211-mua-3-giam-50-adidas-quan-vot-giay-advantage-nam-trang-gw9166-i2062043683.html,5,149,4.1,Dáng regular fit Có dây giày Thân giày bằng chất liệu tổng hợp Lớp lót bằng vải dệt Cảm giác mềm mại Lót giày Cloudfoam Comfort Đế ngoài bằng cao su Đôi giày adidas phong cách tennis này kết hợp diện mạo kinh điển với thiết kế hiện đại thoải mái Kiểu dáng mềm mại mà vừa khít ôm chân tự nhiên Tự tin sải bước với độ bám chắc chắn trên mọi bề mặt Sản phẩm này may bằng vải công nghệ Primegreen thuộc dòng chất liệu tái chế hiệu năng cao Thân giày chứa 50 thành phần tái chế Không sử dụng polyester nguyên sinh
8,adidas Quần vợt Giày Advantage 20 Nam trắng IF1661,1500000,https://www.lazada.vn/products/chi-11-1211-mua-3-giam-50-adidas-quan-vot-giay-advantage-20-nam-trang-if1661-i2662198076.html,25,44,4.1,Dáng regular fit Có dây giày Thân giày bằng da tổng hợp Cảm giác mềm mại Lớp lót bằng vải dệt Lót giày Cloudfoam Comfort Đế ngoài bằng cao su Bản nâng cấp hiện đại của một mẫu giày tennis biểu tượng Đôi giày sneaker adidas này có thân giày giả da với 3 Sọc đục lỗ cho vẻ ngoài tinh tế Lót giày Cloudfoam Comfort cho cảm giác siêu mềm mại và êm ái hấp thụ lực tác động mà vẫn đảm bảo sải bước mượt mà Hoàn thiện với đế ngoài bằng cao su cứng cáp đôi giày này có thiết kế phù hợp cho những chuyến đi ngắn cũng như những buổi đi dạo thường ngày Bất kể kế hoạch của bạn là gì phong cách tối giản này cân được hết mọi outfit Bằng cách chọn tái chế chúng tôi có thể tái sử dụng những chất liệu đã được tạo ra từ đó góp phần giảm lãng phí Những lựa chọn chất liệu tái tạo sẽ giúp chúng tôi giảm phụ thuộc vào nguồn tài nguyên hữu hạn Các sản phẩm sử dụng kết hợp các chất liệu tái chế và tái tạo của chúng tôi có chứa tổng cộng tối thiểu 20 các chất liệu này
9,adidas Tập luyện Áo Thun Tập Luyện Co Giãn Train Essentials Nam Xám IC7416,562500,https://www.lazada.vn/products/chi-11-1211-mua-3-giam-50-adidas-tap-luyen-ao-thun-tap-luyen-co-gian-train-essentials-nam-xam-ic7416-i2123491490.html,25,44,3.8,Dáng regular fit Cổ tròn 92 polyester tái chế 8 elastane AEROREADY Cấu trúc New Lift Chất vải thoáng khí Nâng tạ xoay người và duỗi mình Bất kể bài tập nào chiếc áo thun tập luyện adidas này luôn giúp bạn tự do vận động Chất vải thoáng khí vô cùng linh hoạt với thiết kế kín đáo và cố định khi thực hiện các động tác giơ tay qua đầu Công nghệ AEROREADY giúp bạn luôn khô ráo suốt buổi tập Làm từ một loạt chất liệu tái chế và có chứa tối thiểu 70 thành phần tái chế sản phẩm này đại diện cho một trong số rất nhiều các giải pháp của chúng tôi hướng tới chấm dứt rác thải nhựa
10,adidas Chạy Giày Duramo SL Nam Màu xanh da trời FW8678,1710000,https://www.lazada.vn/products/chi-11-1211-mua-3-giam-50-adidas-chay-giay-duramo-sl-nam-mau-xanh-da-troi-fw8678-i2273012482.html,5,426,4.7,Ôm vừa Có dây buộc Thân giày bằng vải lưới Cảm giác nhẹ nhàng Giày chạy bộ đa năng Đế giữa công nghệ Lightmotion Lót giày OrthoLite Đế ngoài bằng cao su Sự đa dạng tiếp thêm động lực cho bạn Bất kể là chạy bộ nâng tạ hay tham gia các trận đấu ngẫu hứng đôi giày chạy bộ này đều mang đến sự thoải mái linh hoạt Giày có cấu trúc nhẹ cùng lớp đệm êm như bông Các chi tiết phủ ngoài không đường may nâng đỡ bàn chân trong những pha bứt tốc nhanh hoặc chuyển động ngang
